title,author,publisherName,itemCaption,ISBN,salesDate,itemPrice,size,booksGenreId,reviewCount,reviewAverage
PythonでExcel、メール、Webを自動化する本,中嶋英勝,SBクリエイティブ,プログラミング初心者でも全部できる！Ｐｙｔｈｏｎプログラミングの始め方から自動化に必要な知識まで、この１冊に完全収録。,9784815606398,2020年09月23日頃,2398,単行本,001005006003/001005017,3,4.33
Python 1年生 体験してわかる！会話でまなべる！プログラミングのしくみ,森 巧尚,翔泳社,基礎知識がわかる。基本文法をまなべる。開発体験ができる。簡単なプログラムから人工知能アプリまで体験！,9784798153193,2017年12月05日頃,2178,単行本,001005017,11,4.09
独習Python,山田 祥寛,翔泳社,フレームワークやライブラリを使う前に基礎を押さえる！Ｐｙｔｈｏｎを学ぶための“標準教科書”。プログラミングに必要な知識・概念・機能を体系的かつ網羅的に習得。解説、例題、練習問題の３ステップでよくわかる。,9784798163642,2020年06月22日頃,3300,単行本,001005017,0,0.0
独学プログラマー Python言語の基本から仕事のやり方まで,コーリー・アルソフ/清水川 貴之,日経BP,オブジェクト指向、シェル、正規表現、パッケージ管理、バージョン管理、データ構造、アルゴリズム、仕事の見つけ方・やり方。Ｐｙｔｈｏｎ言語の基本から仕事のやり方まで、プログラマーとして働くために必要な知識・ノウハウが１冊で丸わかり。,9784822292270,2018年02月25日頃,2420,単行本,001005017,27,4.0
退屈なことはPythonにやらせよう,Al Sweigart/相川愛三,オライリー・ジャパン,ファイル名の変更や表計算のデータ更新といった作業は、日々の仕事の中で頻繁に発生します。ひとつふたつ修正するだけであれば問題ないのですが、それが数十、数百となってくると手に負えません。そのような単純な繰り返し作業はコンピュータに肩代わりしてもらうとすごくラクになります。本書では、手作業だと膨大に時間がかかる処理を一瞬でこなすＰｙｔｈｏｎ３プログラムの作り方について学びます。対象読者はノンプログラマー。本書で基本をマスターすれば、プログラミング未経験者でも面倒な単純作業を苦もなくこなす便利なプログラムを作れるようになります。さらに、章末の練習問題を解くことで、類似のタスクを自動処理するスキルをもっと高めることができます。,9784873117782,2017年06月03日頃,4070,単行本,001005017,17,4.06
入門Python　3,ビル・ルバノビック/斎藤康毅,オライリー・ジャパン,Ｐｙｔｈｏｎが誕生して四半世紀。データサイエンスやウェブ開発、セキュリティなどさまざまな分野でＰｙｔｈｏｎの人気が急上昇中です。プログラミング教育の現場でもＣに代わってＰｙｔｈｏｎの採用が増えてきています。本書は、プログラミングが初めてという人を対象に書かれた、Ｐｙｔｈｏｎの入門書です。前提とする知識は特にありません。プログラミングおよびＰｙｔｈｏｎの基礎からウェブ、データベース、ネットワーク、並行処理といった応用まで、Ｐｙｔｈｏｎプログラミングをわかりやすく丁寧に説明します。,9784873117386,2015年12月,4070,単行本,001005017,14,4.15
Python 実践データ分析 100本ノック,下山　輝昌/松田　雄馬,秀和システム,これがリアルなデータ分析だ！事前の加工（視覚化）から機械学習、最適化問題まで。-ビジネス現場で即戦力になれる「応用力」を身につけよう！,9784798058757,2019年09月27日頃,2640,単行本,001006008002/001006018002,7,4.67
スッキリわかるPython入門,フレアリンク/国本大悟,インプレス,はじめての人・つまずいた人・納得したい人のための入門書。サクサク進めてしくみもバッチリ！プログラミングの「本質」を身に付け未来への道を切り拓こう！業務自動化、データサイエンス、人工知能、アプリ開発プログラマへの第一歩！,9784295006329,2019年06月,2640,単行本,001005017,3,3.5
Pythonで儲かるAIをつくる,赤石 雅典,日経BP,“見込み客予測”“土日の需要”“商品リコメンド”数学なしでアルゴリズム選びもチューニングもわかる。営業、マーケティングが劇的に変わる。全ＰｙｔｈｏｎコードをＧｏｏｇｌｅ　Ｃｏｌａｂ用のＮｏｔｅｂｏｏｋ形式で用意。,9784296106967,2020年08月07日頃,3190,単行本,001005017,0,0.0
ゼロから作るDeep Learning,斎藤 康毅,オライリー・ジャパン,作って学ぶ。手で覚える。ディープラーニングを理解するための最善の方法は、ディープラーニングをゼロから実装することです。,9784873117584,2016年09月24日頃,3740,単行本,001005017,58,4.53
